,Tweet Text,Informativeness
0,I've got enough candles to supply a Mexican family,off-topic
1,Sandy be soooo mad that she be shattering our doors and shiet #HurricaneSandy,on-topic
2,@ibexgirl thankfully Hurricane Waugh played it cool and waited this one out. Ready to go at any moment tho.,off-topic
3,@taos you never got that magnificent case of Burgundy I sent you to thank you for your tweets?,off-topic
4,"I'm at Mad River Bar &amp; Grille (New York, NY) http://t.co/VSiZrzKP",off-topic
5,Neighborly duties. @Cory_Kennedy arrives to the rescue sporting some spelunking equipment #sandy @ 300 Squad http://t.co/QbpGdm3w,on-topic
6,And that's it until the spring.,off-topic
7,I don't know how I'm getting back to Jersey since the trains and subways aren't running...,on-topic
8,"@NaeemPeena We were asked to get off the plane, after checkin and boarding passes",off-topic
9,@jaytee_96 you must be crazy! &amp; omg you tweeted something yay lol,off-topic
10,Already flooded so much #SANDY @ Hoboken http://t.co/MPhft4a8,on-topic
11,@eloreeeeeee need me to comeback and finish it since I was supposed to sleep over and then I woulda finished,off-topic
12,"On that note, i pray that everyone stays safe, and keeps a positive attitude ! #godisgood",on-topic
13,@codyfinz my house is creeking... Does that mean she's trying to break in?,on-topic
14,My mom just found my little sister screaming out of her window in a random language to animals #onlymyfamily,off-topic
15,RT @FrankIero: Droplets of water is literally falling from the sky. #FrankenstormLIVE!,off-topic
16,@NevaTRUST_Again I Dnt No If She Gonna Let Me,off-topic
17,@jennettemccurdy @noahmunck He's got that kinda spec ops rugged looks,off-topic
18,debating going home in prep for #sandy,on-topic
19,"@viamadison Thanks, babe. We all appreciate it. :) x",off-topic
20,I can't taste my damn food .,off-topic
21,By 11am it's going to be 100% chance of rain #HurricaneSandy,on-topic
22,Big Daddy Deco ready for this Halloween party http://t.co/grKxmXPV,off-topic
23,@MSLWILLSEE loll I don't know your twitter name anymore it doesn't popup when I type for name,off-topic
24,@lisanewmn I do it all the time. Don't hate me! :),off-topic
25,@newscaster we are 5 blocks from the water. First two blocks were evacuated. Sounds like a train just went by. Stay safe! Thanks.,on-topic
26,"It's crazy out there, not gonna lie I'm kind of scared.",on-topic
27,@israilov1012 god bless them ! Lmao the wind calmed down a little so thats good,on-topic
28,No sooner then my last tweet did I receive this text http://t.co/X7sLiyzt,off-topic
29,@mike_cucci queen duck face    ((((I can't do dick face so tongue works too right?))))) http://t.co/UjGnXfiP,off-topic
30,Off to try to find a kids phone I have no idea why he wanted until now to look for it #huh,off-topic
31,One more shower before the power goes out lol,on-topic
32,"@marcushasfun- u were a guest star in my dream last night, &amp; 2day I noticed Marcus Garvey Park on a NYC #hurricane map! http://t.co/LQ2Kpif0",on-topic
33,"Word to the wise, make sure you have cash on u in case of a prolonged power outage &amp; charge all ur phones, iPads, etc.",on-topic
34,#GottaAceMySATexam : OH LORD: wish my cousin found this previously http://t.co/umUM2hzE ya better get this #Top10FavoriteSongs kvb,off-topic
35,@victoriaaa0x haha I was gonna say how can u not wanna stay with Martha ?!,off-topic
36,@jackmackenroth: I'm bored so I'm gonna go outside and get a blow job #HurricaneSandy,off-topic
37,Yo ref his hand is outta bounds,off-topic
38,Stop with this silly snow hoax. We all know this is a global warming hurricane... @slackadjuster @severestudios @reedtimmerTVN,on-topic
39,This is what it look like out my window  @ WeedTopia ! =} http://t.co/ca1HBCtc,off-topic
40,@Hayleyshammock shopping fun! ;)  it should be like this then start to gradually get worse..but will keep u up2date! @ see what goes on..,off-topic
41,I'm debating if I should take you homeeee .,off-topic
42,Emily's air mattress is our Noah's Ark. Two of every type (of boxed wine) #sandy,on-topic
43,Checking the city here in Brooklyn  http://t.co/ESLzKZm7,off-topic
44,Holy shit it must be the end of the world when not even best buy is opening. Day offf,off-topic
45,"just because you can't, doesn't mean i can't",off-topic
46,When the lights in the elevator you're in go out and you're stuck in darkness #hurricanesandy,on-topic
47,#SATstudyTime : WOW.. wish my boys found that earlier http://t.co/BmrBPwYv hurry before its unavailable Des Moines Register bwy,off-topic
48,@TheFatLadyRaps but you love me... And u ugg,off-topic
49,"@judyrey Same thing in Queens, I have siding hanging from my house. Where r u?",off-topic
50,"@OredRocAnn holy shit, your block or the next one?",off-topic
51,The Statue of Liberty as seen from near Battery Park. #sandy #hurricanesandy  @ Battery Park City http://t.co/0MZy2IXX,on-topic
52,"Channel surfing, and relaxing with my green goodies. I wanna go for a walk, but not feeling flying away like #MaryPoppins or some shit.",off-topic
53,I wanna go to the beach but I don't wanna die,on-topic
54,RT @KatEdorsson: #SANDY &amp; #A-ROD Damn dude... What is this world coming too http://t.co/GZgV9jnM     too funny LOL!!,on-topic
55,"@nicoledandrea yea, just hoping my windows hold. They're shaking but they're all new so fingers crossed. Hope all is well on your end",on-topic
56,"Today i had more fun then i have in the longest time,",off-topic
57,@CocoCrunchMB Hi P'! Your going to do great today :D Love you! &lt;3,off-topic
58,Water levels be rising!!! (@ Long Island City Piers) [pic]: http://t.co/D9VVuCPo,on-topic
59,"dearest @andre_kamp, i love you. wish you were in the storm with us. http://t.co/f4ehKQQA",on-topic
60,Stfup...! Nobody likes your shit anyways....!! ___ likes to talk shit ALOT !   Lmfao,off-topic
61,BREAKING: RT @youranonnews: #NYC #Sandy - FDNY on scanner confirmed fuel leak contamination. Drink bottled water. Boiling will not help.,on-topic
62,@MikeyDeleasa thank you for posting that! Is it gonna be rescheduled?,off-topic
63,My power keep goin in and out,on-topic
64,My whole street is BLACK,off-topic
65,"@shalomshuli Dude...you are CRUSHING on Howard!  I'm listening on demand right now.  Shalom, mother effer!  ~Sal ( from Raw Dog)",off-topic
66,@Max_D_tho smokin during a hurricane is hard as hell lol,on-topic
67,"tonight I'm gonna dance for all that we've been through, but I don't wanna dance if I'm not dancing with you.",off-topic
68,Things are bad out there @ West Orange Police Dept http://t.co/elNnbJwG,on-topic
69,"If only I was stormed in with @Twink_ie &amp; @GiBaby_ My only survival needs. Stay safe, love you",on-topic
70,@Wimblaaa what!? Malteses are cute!! http://t.co/bbYpEvBA,off-topic
71,Well I was the only sober one at the party at least I won't have a #hangover #suckstosuck,off-topic
72,Everyone and their mothers are at home depot,off-topic
73,@ant_decicco I wanna check it out!,off-topic
74,I'm too nice at FIFA!!!!!!,off-topic
75,So much to do..in such short time ; must not be lazy!! AHJA,off-topic
76,Sicilia ubd !!! #HaveToAceMySATexam .. ..better get it while u can http://t.co/2OZUsia8,off-topic
77,Power's been cut to lower Manhattan and our lights are flickering....!,on-topic
78,"My mom told me I could have whoever I want sleep over, it's a little late mom",off-topic
79,Pre Sandy Calm @ Patsy &amp; Eddie's Boli-Stoli Factory http://t.co/2zE2rPiN,on-topic
80,Guys!!!! It's getting really bad out there now!!! Hope everyone  @ Frankenstorm Apocalypse - Hurricane Sandy http://t.co/sRvSO8kj,on-topic
81,GIANTS!!! Congratulations. What a season!,off-topic
82,"I have so much ammo, I'm gunna kill all the babies- @Zaine_O_Mac",off-topic
83,@pweetytinu am Gud and u,off-topic
84,good bye Astoria #hurricanesandy on the way @ Astoria Park http://t.co/WBqWIqHU,on-topic
